epoch,step,test_accuracy,test_loss,train_accuracy_epoch,train_accuracy_step,train_loss,valid_accuracy,valid_loss
0,49,,,,0.73046875,,,
0,99,,,,0.828125,,,
0,149,,,,0.828125,,,
0,187,,,,,,0.8970833420753479,0.3295879065990448
0,187,,,0.7672708630561829,,1.5087858438491821,,
1,199,,,,0.8828125,,,
1,249,,,,0.859375,,,
1,299,,,,0.9140625,,,
1,349,,,,0.87890625,,,
1,375,,,,,,0.9304999709129333,0.249019593000412
1,375,,,0.8767708539962769,,0.4206017553806305,,
2,399,,,,0.875,,,
2,449,,,,0.87890625,,,
2,499,,,,0.875,,,
2,549,,,,0.8984375,,,
2,563,,,,,,0.9388333559036255,0.21667830646038055
2,563,,,0.8965625166893005,,0.3602791726589203,,
3,599,,,,0.9296875,,,
3,649,,,,0.87890625,,,
3,699,,,,0.91796875,,,
3,749,,,,0.921875,,,
3,751,,,,,,0.9424999952316284,0.209888756275177
3,751,,,0.9066458344459534,,0.32630181312561035,,
4,799,,,,0.9453125,,,
4,849,,,,0.91796875,,,
4,899,,,,0.89453125,,,
4,939,,,,,,0.9467499852180481,0.19154874980449677
4,939,,,0.9137916564941406,,0.3098234534263611,,
5,949,,,,0.93359375,,,
5,999,,,,0.9140625,,,
5,1049,,,,0.94140625,,,
5,1099,,,,0.91015625,,,
5,1127,,,,,,0.9480833411216736,0.18497543036937714
5,1127,,,0.9182291626930237,,0.28875428438186646,,
6,1149,,,,0.93359375,,,
6,1199,,,,0.9375,,,
6,1249,,,,0.9375,,,
6,1299,,,,0.91015625,,,
6,1315,,,,,,0.9505000114440918,0.18229170143604279
6,1315,,,0.9222708344459534,,0.27970433235168457,,
7,1349,,,,0.9296875,,,
7,1399,,,,0.9453125,,,
7,1449,,,,0.94140625,,,
7,1499,,,,0.93359375,,,
7,1503,,,,,,0.9539999961853027,0.16995280981063843
7,1503,,,0.921958327293396,,0.2793649137020111,,
8,1549,,,,0.953125,,,
8,1599,,,,0.9375,,,
8,1649,,,,0.8984375,,,
8,1691,,,,,,0.9525833129882812,0.16745884716510773
8,1691,,,0.9262708425521851,,0.26801013946533203,,
9,1699,,,,0.92578125,,,
9,1749,,,,0.91015625,,,
9,1799,,,,0.9296875,,,
9,1849,,,,0.90625,,,
9,1879,,,,,,0.953083336353302,0.171807661652565
9,1879,,,0.9273124933242798,,0.2609880864620209,,
10,1899,,,,0.91796875,,,
10,1949,,,,0.9296875,,,
10,1999,,,,0.92578125,,,
10,2049,,,,0.91015625,,,
10,2067,,,,,,0.9400833249092102,0.19558720290660858
10,2067,,,0.9297916889190674,,0.2519627809524536,,
11,2099,,,,0.93359375,,,
11,2149,,,,0.91015625,,,
11,2199,,,,0.89453125,,,
11,2249,,,,0.91796875,,,
11,2255,,,,,,0.9540833234786987,0.1660827100276947
11,2255,,,0.9302291870117188,,0.25161367654800415,,
12,2299,,,,0.91796875,,,
12,2349,,,,0.953125,,,
12,2399,,,,0.921875,,,
12,2443,,,,,,0.9523333311080933,0.1679048240184784
12,2443,,,0.932645857334137,,0.2435598075389862,,
13,2449,,,,0.9375,,,
13,2499,,,,0.921875,,,
13,2549,,,,0.91015625,,,
13,2599,,,,0.92578125,,,
13,2631,,,,,,0.9572499990463257,0.1609351634979248
13,2631,,,0.9354791641235352,,0.2370220571756363,,
14,2649,,,,0.9453125,,,
14,2699,,,,0.9140625,,,
14,2749,,,,0.95703125,,,
14,2799,,,,0.94140625,,,
14,2819,,,,,,0.953083336353302,0.17801494896411896
14,2819,,,0.9347500205039978,,0.23706209659576416,,
15,2849,,,,0.9453125,,,
15,2899,,,,0.9296875,,,
15,2949,,,,0.95703125,,,
15,2999,,,,0.92578125,,,
15,3007,,,,,,0.9601666927337646,0.14300459623336792
15,3007,,,0.937583327293396,,0.23232682049274445,,
16,3049,,,,0.9296875,,,
16,3099,,,,0.9140625,,,
16,3149,,,,0.9453125,,,
16,3195,,,,,,0.956166684627533,0.1588166356086731
16,3195,,,0.9363124966621399,,0.23218654096126556,,
17,3199,,,,0.94921875,,,
17,3249,,,,0.9375,,,
17,3299,,,,0.9453125,,,
17,3349,,,,0.921875,,,
17,3383,,,,,,0.9574999809265137,0.16098661720752716
17,3383,,,0.937541663646698,,0.22839996218681335,,
18,3399,,,,0.95703125,,,
18,3449,,,,0.92578125,,,
18,3499,,,,0.93359375,,,
18,3549,,,,0.9296875,,,
18,3571,,,,,,0.9575833082199097,0.15368974208831787
18,3571,,,0.9397500157356262,,0.22048987448215485,,
19,3599,,,,0.95703125,,,
19,3649,,,,0.93359375,,,
19,3699,,,,0.95703125,,,
19,3749,,,,0.921875,,,
19,3759,,,,,,0.9552500247955322,0.1669265180826187
19,3759,,,0.9385833144187927,,0.21898528933525085,,
20,3799,,,,0.953125,,,
20,3849,,,,0.9375,,,
20,3899,,,,0.92578125,,,
20,3947,,,,,,0.9574999809265137,0.1572866439819336
20,3947,,,0.9412500262260437,,0.21647509932518005,,
21,3949,,,,0.94140625,,,
21,3999,,,,0.94921875,,,
21,4049,,,,0.9296875,,,
21,4099,,,,0.94921875,,,
21,4135,,,,,,0.9620000123977661,0.15097445249557495
21,4135,,,0.9437291622161865,,0.2109956443309784,,
22,4149,,,,0.9375,,,
22,4199,,,,0.96875,,,
22,4249,,,,0.91796875,,,
22,4299,,,,0.93359375,,,
22,4323,,,,,,0.9572499990463257,0.16278809309005737
22,4323,,,0.940666675567627,,0.21274898946285248,,
23,4349,,,,0.96875,,,
23,4399,,,,0.921875,,,
23,4449,,,,0.95703125,,,
23,4499,,,,0.96875,,,
23,4511,,,,,,0.9652500152587891,0.13907772302627563
23,4511,,,0.9449166655540466,,0.20473428070545197,,
24,4549,,,,0.953125,,,
24,4599,,,,0.91015625,,,
24,4649,,,,0.9375,,,
24,4699,,,,0.953125,,,
24,4699,,,,,,0.9639999866485596,0.14971916377544403
24,4699,,,0.9426875114440918,,0.21175388991832733,,
25,4749,,,,0.94140625,,,
25,4799,,,,0.9609375,,,
25,4849,,,,0.94921875,,,
25,4887,,,,,,0.9565833210945129,0.17162613570690155
25,4887,,,0.9437291622161865,,0.2071678638458252,,
26,4899,,,,0.95703125,,,
26,4949,,,,0.94921875,,,
26,4999,,,,0.96875,,,
26,5049,,,,0.9375,,,
26,5075,,,,,,0.9599166512489319,0.152818962931633
26,5075,,,0.9446874856948853,,0.20317389070987701,,
27,5099,,,,0.95703125,,,
27,5149,,,,0.94921875,,,
27,5199,,,,0.93359375,,,
27,5249,,,,0.9609375,,,
27,5263,,,,,,0.9622499942779541,0.16063332557678223
27,5263,,,0.945479154586792,,0.2049463540315628,,
28,5299,,,,0.953125,,,
28,5349,,,,0.9375,,,
28,5399,,,,0.9609375,,,
28,5449,,,,0.9375,,,
28,5451,,,,,,0.9592499732971191,0.15127326548099518
28,5451,,,0.9417916536331177,,0.20973864197731018,,
29,5499,,,,0.9296875,,,
29,5549,,,,0.95703125,,,
29,5599,,,,0.95703125,,,
29,5639,,,,,,0.9610833525657654,0.15681898593902588
29,5639,,,0.9469791650772095,,0.19682133197784424,,
30,5640,0.9634000062942505,0.15775413811206818,,,,,
